Year,SouthAmer,NorthAmer,Europe,USSR,AfricaMidEast,Asia,Oceania
1850,3.41E-02,4.38E+00,1.08E+02,3.09E+01,1.57E-01,5.51E-01,5.51E-04
1860,4.38E-02,1.05E+01,1.70E+02,4.88E+01,1.73E-01,1.38E+00,6.12E-02
1870,5.49E-02,2.15E+01,2.56E+02,7.40E+01,3.02E-01,6.27E-01,1.37E-01
1880,5.80E-02,4.26E+01,3.63E+02,1.07E+02,3.05E-01,3.67E+00,5.95E-01
1890,9.90E-01,7.80E+01,4.91E+02,1.45E+02,9.12E-01,7.76E+00,1.03E+00
1900,2.15E+00,1.30E+02,6.61E+02,2.00E+02,4.36E+00,1.90E+01,2.59E+00
1910,1.19E+01,2.45E+02,8.60E+02,2.62E+02,3.18E+01,7.44E+01,5.18E+00
1920,8.67E+00,3.01E+02,8.11E+02,2.37E+02,4.46E+01,1.11E+02,6.44E+00
1930,1.32E+01,2.52E+02,9.42E+02,2.94E+02,5.19E+01,1.42E+02,6.39E+00
1940,1.28E+01,2.36E+02,1.06E+03,3.99E+02,7.07E+01,2.47E+02,8.24E+00
1950,1.18E+01,2.62E+02,9.36E+02,4.52E+02,1.18E+02,2.39E+02,1.50E+01
1960,1.47E+01,2.10E+02,1.15E+03,6.61E+02,1.77E+02,1.45E+03,2.09E+01
1970,1.71E+01,2.32E+02,1.07E+03,6.91E+02,2.36E+02,1.41E+03,2.25E+01
1980,2.31E+01,2.20E+02,8.13E+02,6.78E+02,3.27E+02,2.31E+03,3.39E+01
1990,3.45E+01,2.20E+02,6.26E+02,5.68E+02,4.77E+02,3.68E+03,4.15E+01
2000,4.33E+01,1.98E+02,4.70E+02,3.34E+02,6.11E+02,4.93E+03,5.58E+01
2010,5.09E+01,1.74E+02,3.70E+02,3.14E+02,8.02E+02,9.54E+03,5.16E+01
