Year,NorthAmer,SouthAmer,Europe,USSR,AfricaMidEast,Asia,Oceania
1850,0,0,0,0,0,0,0
1860,1.56610619469027,0,0.380778761061947,0.095194690265487,0,0,0
1870,16.6222212389381,0,7.38222539823009,0.66329203539823,0,0.009212389380531,0
1880,114.199849557522,0,27.1919026548673,18.5169026548673,0,2.50576991150443,0
1890,433.789920353982,0.288654867256637,139.914729823009,215.686601769912,0,11.2176194690266,0
1900,1014.2963539823,4.71367256637168,411.084482035398,1106.31891150443,0,111.122911504425,1.2283185840708
1910,5266.53323362832,40.599,1042.46172982301,1452.1335840708,8.34949557522124,313.703353982301,27.6586637168142
1920,13439.8271221239,173.972902654867,1383.8593380531,654.730654867257,34.3407168141593,452.798150442478,46.4150884955752
1930,24077.8159486726,616.025107964602,4638.28752265487,2132.21673451327,228.816713274336,922.489366371681,346.112539823009
1940,24713.0460940708,1259.61368495575,4354.42837964602,3635.44376548673,1213.94329530973,517.347796725664,481.91667079646
1950,23092.7468212389,2723.82317610619,5437.1682419469,2837.42821238938,1698.41889150442,910.830166371681,402.329886991151
1960,27609.2201167257,4796.45540442478,18790.2844860177,9036.90656725664,5632.8268021239,6646.85989672566,933.833901858407
1970,34351.9519577473,6461.65868692479,20016.9439245256,14080.6358489109,11929.1968360926,17094.72236,1055.88049
1980,34244.2075798357,6582.03787473594,26254.786787127,28610.4588095097,15243.3533662147,23787.48941,1047.80883
1990,26408.7163943253,6558.4646325137,19666.5142736659,28225.8128996103,18286.1536153857,24686.20746,773.510126
2000,28977.152104731,8037.1174974017,22495.8137386491,9590.94092527982,25230.3987265325,28589.88503,963.3409639
2010,25864.7939594177,9483.30669515237,16917.4557777242,7086.46785163905,32574.261945352,32219.23035,1003.161046
